Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2000-07,6.52,6.54,9.50,6.14,5.85
2000-08,6.50,6.49,9.50,6.28,5.72
2000-09,6.51,6.47,9.50,6.18,5.83
2000-10,6.52,6.52,9.50,6.29,5.80
2000-11,6.52,6.52,9.50,6.36,5.78
2000-12,6.45,6.33,9.50,5.94,5.49
Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2001-01,6.02,5.51,9.05,5.29,5.54
2001-02,5.51,5.19,8.50,5.01,5.45
2001-03,5.32,4.81,8.32,4.54,5.34
2001-04,4.81,4.47,0.78,3.97,5.65
2001-05,4.23,3.96,7.25,3.70,5.78
2001-06,3.95,3.69,6.98,3.57,5.67
2001-07,3.78,3.62,6.75,3.59,5.61
2001-08,3.66,3.44,6.66,3.44,5.48
2001-09,2.96,2.84,6.26,2.69,5.48
2001-10,2.50,2.29,5.55,2.20,5.32
2001-11,2.11,2.00,5.10,1.91,5.12
2001-12,1.82,1.81,4.84,1.72,5.48
Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2002-01,1.75,1.72,4.75,1.68,5.45
2002-02,1.75,1.80,4.75,1.76,5.45
2002-03,1.73,1.87,4.75,ND,5.81
2002-04,1.76,1.83,4.75,ND,5.79
2002-05,1.76,1.80,4.75,ND,5.76
2002-06,1.75,1.78,4.75,1.73,5.68
2002-07,1.74,1.76,4.75,1.71,5.59
2002-08,1.75,1.71,4.75,1.65,5.28
2002-09,1.75,1.74,4.75,1.66,4.96
2002-10,1.76,1.71,4.75,1.61,5.18
2002-11,1.33,1.37,4.35,1.25,5.18
2002-12,1.25,1.32,4.25,1.21,5.13
