Month,Fed_Funds_Rate,Commercial_Paper_3_Month,Prime_Rate,Treasury_Rate_3_Month,Treasury_Rate_30_Year
2014-01,0.07142857143,0.1238095238,3.25,0.04333333333,3.769047619
2014-02,0.06736842105,0.1336842105,3.25,0.05263157895,3.662631579
2014-03,0.07904761905,0.1219047619,3.25,0.05238095238,3.620952381
2014-04,0.09045454545,0.120952381,3.25,0.03095238095,3.517619048
2014-05,0.08714285714,0.1080952381,3.25,0.03238095238,3.39
2014-06,0.09571428571,0.1071428571,3.25,0.03571428571,3.42
2014-07,0.09136363636,0.125,3.25,0.02636363636,3.331818182
2014-08,0.08904761905,0.1280952381,3.25,0.03285714286,3.200952381
2014-09,0.08857142857,0.1219047619,3.25,0.02,3.26
2014-10,0.08863636364,0.1204545455,3.25,0.01681818182,3.04
2014-11,0.095,0.1327777778,3.25,0.02166666667,3.038333333
2014-12,0.1213636364,0.1545454545,3.25,0.02909090909,2.833181818
